geo_key,name,tot_pop_10,pc_wht_10,avg_huval,yrblt_mdn,crash,crm_prop,yrblt_mdn,pc_ov64_10,avg_stcnd,pc_un18_10,pc_fmwc_10,crm_pers,year
115,Tenney-Lapham Neighborhood Association,4149,87.1,281641.0,1914,139,176,1914,3.4,7.4,9.5,9.8,35,2013
147,Westmorland Neighborhood Association,2207,91.7,247481.0,1951,26,24,1951,15.0,7.1,22.2,28.9,0,2013
152,High Point Estates,853,71.8,413454.0,1992,7,14,1992,8.4,7.1,28.8,36.9,1,2013
93,Nobel Park Neighborhood Association,353,72.2,131816.0,1955,9,17,1955,9.4,7.3,20.7,22.2,10,2013
181,Monona Bay Neighborhood Association,1138,53.3,249961.0,1971,40,56,1971,7.5,7.8,14.7,11.3,16,2013
157,Moorland-Rimrock Neighborhood Association,2591,49.2,168101.0,1973,15,46,1973,3.8,6.5,28.5,34.4,27,2013
158,Park Ridge Neighborhood Association,488,48.3,128922.0,1986,8,19,1986,2.2,6.9,30.1,30.2,8,2013
174,Hawk's Landing Neighborhood Association,1503,85.6,520126.0,2004,3,15,2004,6.2,7.0,29.7,36.6,1,2013
120,Richmond Hill Homeowners Association,395,85.3,340850.0,1997,5,5,1997,11.1,8.0,26.3,39.1,0,2013
151,Bram's Addition Neighborhood Association,1282,24.4,113501.0,1965,42,79,1965,8.5,6.6,30.9,31.0,34,2013
98,Brentwood Village Association,1128,63.2,179752.0,1962,16,38,1962,14.9,7.3,20.7,22.4,23,2013
